41,"https://www.211ca.org/search/?taxonomyCode=PL-7400.1500&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: EDUCACIÓN Y DESARROLLO INDIOS YA-KA-AMA"
42,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2019/07/72-Hour-Checklist-Sonoma.pdf","211 Sonoma 72 Hour Checklist"
43,"https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2018/12/Tips-for-Reentry-Success-VC-12.11.pdf","Interface Children & Family Services | Tips for a Successful Reentry into the Community"
44,"https://getfood.refb.org/","Redwood Empire Food Bank"
45,"https://socoemergency.org/emergency/novel-coronavirus/resources-information/financial-assistance-for-residents/","Finance & Housing Assistance during COVID-19"
46,"https://socoemergency.org/order-of-the-health-officer-shelter-in-place/","Order of the Health Officer C19-03: Shelter in Place"
47,"https://sonomacounty.ca.gov/Health/Information-About-Coronavirus/#googtrans(es)","Nuevo coronavirus"
48,"https://www.211ca.org/search/?taxonomyCode=HH-0500.2500-250&location=sonoma+county+ca#googtrans(es)","Nombre del servicio: EDUCACIÓN Y DESARROLLO INDIOS YA-KA-AMA"
49,"http://www.211ca.org#googtrans(es)","Buscar por categoría"
50,"https://www.google.com/maps/d/u/0/viewer?mid=12sGarVKPhpZMJsoQNhED65mJilzG6245&ll=38.51774044915148%2C-122.9129044&z=10","SCOE School Lunch Sites (COVID-19)"
